brand,model,year,mileage,transmission,price
Honda,BRIO SATYA E 1.2,2019,79325.0,Automatic,156000000
Wuling,CONFERO S 1.5,2018,91501.0,Manual,105000000
Toyota,SIENTA G 1.5,2019,35480.0,Automatic,187000000
Honda,BRIO SATYA E 1.2,2018,81964.0,Automatic,141000000
Honda,BRIO SATYA E 1.2,2019,34001.0,Automatic,158000000
Honda,BR-V E 1.5,2019,21707.0,Automatic,203000000
Honda,MOBILIO E PRESTIGE 1.5,2014,96773.0,Automatic,138000000
Toyota,SIENTA G 1.5,2018,94182.0,Automatic,168000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,98215.0,Automatic,212000000
Daihatsu,AYLA R 1.2,2018,74372.0,Automatic,124000000
Nissan,MARCH 1.5,2014,74562.0,Automatic,126000000
Toyota,RUSH S TRD SPORTIVO 1.5,2018,30977.0,Automatic,212000000
Nissan,MARCH 1.2,2017,19223.0,Automatic,124000000
Toyota,FORTUNER VRZ GR SPORT 2.8,2022,15713.0,Automatic,542000000
Toyota,KIJANG INNOVA REBORN V 2.0,2019,65075.99999999999,Automatic,315000000
Mitsubishi,XPANDER EXCEED 1.5,2019,56425.0,Automatic,205000000
Toyota,AVANZA G 1.3,2019,58385.0,Manual,177000000
Toyota,KIJANG INNOVA G 2.0,2021,32582.0,Automatic,319000000
Honda,MOBILIO E 1.5,2014,91739.0,Automatic,132000000
Suzuki,S-PRESSO 1.0,2023,245000.0,Automatic,145000000
Toyota,KIJANG INNOVA G 2.0,2014,139609.0,Automatic,180000000
Suzuki,IGNIS GX 1.2,2017,113568.0,Automatic,129000000
Mitsubishi,XPANDER ULTIMATE 1.5,2019,71110.0,Automatic,222000000
Daihatsu,TERIOS X DLX 1.5,2020,38952.0,Automatic,204000000
Toyota,AGYA G TRD 1.2,2019,34243.0,Automatic,135000000
Honda,BRIO SATYA E 1.2,2018,40661.0,Automatic,146000000
Mitsubishi,XPANDER SPORT 1.5,2018,89474.0,Automatic,203000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,85438.0,Automatic,214000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,65729.0,Automatic,215000000
Mitsubishi,XPANDER ULTIMATE 1.5,2019,66213.0,Automatic,224000000
Mitsubishi,XPANDER ULTIMATE 1.5,2019,76021.0,Automatic,223000000
Toyota,KIJANG INNOVA Q 2.0,2016,91500.0,Automatic,285000000
Suzuki,BALENO HATCHBACK 1.4,2017,91044.0,Automatic,161000000
Toyota,KIJANG INNOVA REBORN V 2.0,2017,97991.0,Automatic,277000000
Honda,BRIO RS 1.2,2019,77208.0,Automatic,180000000
Toyota,SIENTA V 1.5,2019,43520.0,Automatic,198000000
Mitsubishi,XPANDER EXCEED 1.5,2019,64706.99999999999,Automatic,206000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,98408.0,Automatic,211000000
Toyota,AGYA G TRD 1.2,2018,44496.0,Automatic,132000000
Nissan,SERENA HIGHWAY STAR 2.0,2019,31620.0,Automatic,326000000
Toyota,RUSH S TRD SPORTIVO 1.5,2018,77776.0,Automatic,213000000
Daihatsu,XENIA R DLX 1.3,2014,48788.0,Manual,124000000
Nissan,MARCH 1.2,2013,135982.0,Automatic,96000000
Honda,MOBILIO E 1.5,2015,112025.0,Automatic,141000000
Toyota,FORTUNER VRZ 4X2 2.4,2017,95495.0,Automatic,380000000
Honda,BRIO RS 1.2,2019,64135.99999999999,Automatic,180000000
Honda,BRIO RS 1.2,2020,11320.0,Automatic,188000000
Toyota,YARIS S TRD 1.5,2018,32892.0,Automatic,211000000
Daihatsu,TERIOS ADVENTURE R 1.5,2015,110660.0,Automatic,154000000
Toyota,AVANZA VELOZ 1.3,2018,62536.0,Automatic,170000000
Toyota,RUSH S TRD SPORTIVO 1.5,2018,66337.0,Automatic,213000000
Honda,BRIO SATYA E 1.2,2020,28648.0,Automatic,166000000
Mitsubishi,PAJERO SPORT DAKAR 4X2 2.4,2018,60880.0,Automatic,429000000
Toyota,KIJANG INNOVA Q 2.0,2018,64583.0,Automatic,317000000
Daihatsu,TERIOS R DLX 1.5,2020,68981.0,Automatic,217000000
Honda,BRIO RS 1.2,2018,41984.0,Automatic,152000000
Chevrolet,SPARK PREMIER 1.4,2019,16685.0,Automatic,139000000
Nissan,LIVINA VL 1.5,2019,30482.0,Automatic,201000000
Suzuki,CARRY PICK UP 1.5,2021,1699.0,Manual,102000000
Honda,BRIO SATYA E 1.2,2018,69603.0,Automatic,155000000
Honda,BRIO SATYA E 1.2,2018,43996.0,Automatic,144000000
Mitsubishi,XPANDER ULTIMATE 1.5,2017,41790.0,Automatic,211000000
Mitsubishi,XPANDER ULTIMATE 1.5,2018,84753.0,Automatic,213000000
Toyota,AGYA G TRD SPORTIVO 1.2,2021,40040.0,Automatic,148000000
Toyota,AVANZA G 1.3,2017,88066.0,Manual,152000000
Toyota,AVANZA E 1.3,2020,52800.0,Automatic,172000000
Toyota,KIJANG INNOVA G 2.0,2016,119413.0,Automatic,242000000
Toyota,FORTUNER VRZ 4X2 2.4,2017,51475.0,Automatic,390000000
Toyota,KIJANG INNOVA REBORN G 2.0,2017,46010.0,Automatic,261000000
Honda,BRIO SATYA E 1.2,2016,15393.0,Automatic,131000000
Honda,BRIO E 1.2,2014,30466.0,Automatic,121000000
Honda,BRIO SATYA E 1.2,2020,11054.0,Automatic,164000000
Mazda,CX-5 HIGH 2.5,2014,81916.0,Automatic,200000000
Suzuki,ERTIGA SPORT GT 1.5,2019,56760.0,Automatic,201000000
Honda,BRIO SATYA E 1.2,2022,3574.0,Automatic,172000000
Toyota,RAIZE GR 1.0,2021,19809.0,Automatic,223000000
Suzuki,IGNIS GL 1.2,2018,60258.0,Automatic,130000000
